Wall time,Step,Value
1691656047.7383578,2,0.0
1691656069.5587173,5,0.0
1691656158.4986537,8,0.0
1691656176.4376082,11,1.0
1691656201.9157,14,1.0
1691656284.2446127,17,1.0
1691656312.093124,20,2.0
1691656327.0140438,23,2.0
1691656411.6050003,26,2.0
1691656432.2422657,29,3.0
1691656457.0245903,32,3.0
1691656536.7797947,35,3.0
1691656558.1803513,38,4.0
1691656584.575988,41,4.0
1691656662.5431714,44,4.0
1691656679.900594,47,5.0
1691656703.5485668,50,5.0
1691656786.985627,53,5.0
1691656806.9426184,56,6.0
1691656826.8243384,59,6.0
1691656907.351285,62,6.0
1691656927.3841608,65,7.0
1691656941.7542565,68,7.0
1691657028.3123193,71,7.0
1691657048.533209,74,8.0
1691657068.13325,77,8.0
1691657149.07959,80,8.0
1691657170.490996,83,9.0
1691657189.893221,86,9.0
1691657270.6452553,89,9.0
1691657295.4284146,92,10.0
1691657310.430903,95,10.0
1691657392.4008732,98,10.0
1691657412.8305025,101,11.0
1691657428.793635,104,11.0
1691657514.5817075,107,11.0
1691657532.773275,110,12.0
1691657555.788356,113,12.0
1691657637.3355975,116,12.0
1691657666.1178088,119,13.0
1691657681.912685,122,13.0
1691657759.6700673,125,13.0
1691657775.6997674,128,14.0
1691657797.88521,131,14.0
1691657879.8593297,134,14.0
1691657909.4663377,137,15.0
1691657923.0360334,140,15.0
1691658003.8145208,143,15.0
1691658025.56451,146,16.0
1691658039.6297348,149,16.0
1691658129.6962328,152,16.0
1691658154.815104,155,17.0
1691658169.9815834,158,17.0
1691658254.3413887,161,17.0
1691658274.7499285,164,18.0
1691658293.9567575,167,18.0
1691658377.8036788,170,18.0
1691658399.2474046,173,19.0
1691658419.31445,176,19.0
1691658503.8287888,179,19.0
1691658525.475971,182,20.0
1691658546.7425444,185,20.0
1691658630.4302733,188,20.0
1691658656.245727,191,21.0
1691658675.8698533,194,21.0
1691658755.5883129,197,21.0
1691658777.8934305,200,22.0
1691658791.7714107,203,22.0
1691658880.3468885,206,22.0
1691658900.9712403,209,23.0
1691658921.1802886,212,23.0
1691659008.415654,215,23.0
1691659029.9135273,218,24.0
1691659049.7387803,221,24.0
1691659134.073173,224,24.0
1691659156.0757904,227,25.0
